Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Spain,65.80000305,67.08999634,69.80999756,71.63500214,76.19000244,78.6896286,80.5613327,84.60224915,86.10723877,90.71866608,93.20565033
Sri Lanka,,,,,10.5,12.10000038,15.10000038,21.29999924,26,29,35
Sub-Saharan Africa,6.148348331,7.611246109,9.305421829,11.19203281,13.40872097,16.12302589,17.92468452,20.83213043,24.71623421,27.33539391,30.04261971
Sudan,,,,,,,14.10000038,18.60000038,24.60000038,25.89999962,28.39999962
Suriname,31.59000015,32,34.68119812,37.40000153,40.08000183,42.76382828,45.40000153,48.94517517,53.79999924,68.75,70.05999756
Sweden,90,92.76998901,93.17998505,94.78359985,92.51999664,90.61019897,89.65094757,93.00626373,89.2469635,94.49344635,94.53942871
Switzerland,83.90000153,85.19303131,85.19999695,86.33999634,87.40000153,87.47905731,89.13468933,89.6861496,91.80000305,93.14608765,94.19999695
Syria,20.70000076,22.5,24.30010033,26.20000076,28.09000015,29.97979736,31.869627,32.70000076,33.77000046,34.65000153,35.77999878
Tajikistan,11.55000019,13.02999973,14.51000023,16,17.48999977,18.97999954,20.46999931,21.95999908,,,
Tanzania,2.900000095,3.200000048,3.950000048,4.400000095,7,10,13.50423241,15.99999905,19,20,22
Thailand,22.39999962,23.66992569,26.45999908,28.94000053,34.88999939,39.31612778,47.50496674,52.89192963,56.81748199,66.65242004,77.84374237
Timor,3,4,7,11,17.5,18.60000038,21.20000076,24.20000076,27.60000038,29,29.10000038
Togo,3,3.5,4,4.5,5.699999809,7.119999886,11.31000042,12.36022472,15.5,19.29999924,24
Tonga,16,25,30,32.75395966,35.95444107,38.65127182,39.95000076,41.24872589,,,
Trinidad and Tobago,48.5,55.20000076,57.5,59.90000153,62.40000153,65.09999847,67.80000305,70.59999847,,,
Tunisia,36.79999924,39.09999847,41.4416008,43.79999924,46.15999985,46.49999619,49.59999466,55.5001564,64.19081116,66.69999695,71.90000153
Turkey,39.81999969,43.06571198,45.13000107,46.25,51.04000092,53.74497986,58.34773254,64.68461609,71.04276276,73.97669983,77.66999817
Turkmenistan,3,5,7.195799828,9.600000381,12.19999981,14.99677467,17.99032402,21.25099754,,,
Turks and Caicos Islands,,,,,,,,,,,
Tuvalu,14.60000038,16.5,18.70000076,21.20000076,24.10000038,27.29999924,31,35.20000076,,,
Uganda,4.300000191,4.599999905,4.800000191,5.099999905,5.400000095,5.699999809,6,8.100000381,10.89999962,14.69999981,19.89999962
