Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latin America & Caribbean,5347120000000.00,6085990000000.00,6150580000000.00,6302260000000.00,6425930000000.00,5369840000000.00,5247930000000.00,5830760000000.00,5701840000000.00,5623610000000.00,4743150000000.00
Least developed countries: UN classification,686139000000.00,796491000000.00,837472000000.00,912825000000.00,981404000000.00,949727000000.00,988285000000.00,1103870000000.00,1087620000000.00,1142300000000.00,1162000000000.00
Low income,613155000000.00,461377000000.00,437977000000.00,449879000000.00,480290000000.00,474998000000.00,470793000000.00,527247000000.00,453568000000.00,479643000000.00,481025000000.00
Liechtenstein,5082366478.00,5739977477.00,5456009385.00,6391735894.00,6657170923.00,6268391521.00,6237264055.00,6474256119.00,6692504346.00,6427248943.00,nan
Sri Lanka,56725749222.00,65292753005.00,68434409315.00,74317806538.00,79356449841.00,80604080689.00,82401038710.00,87428128124.00,87963042341.00,83902574443.00,80969683537.00
Lower middle income,5246900000000.00,6031010000000.00,6329150000000.00,6432750000000.00,6682830000000.00,6525990000000.00,6885320000000.00,7396390000000.00,7541060000000.00,7894760000000.00,7585550000000.00
Low & middle income,20449600000000.00,24135700000000.00,25680400000000.00,27188300000000.00,28100500000000.00,26661300000000.00,26903000000000.00,29564600000000.00,31299300000000.00,32061300000000.00,30913900000000.00
Lesotho,2234731974.00,2579421686.00,2477702253.00,2367113170.00,2441053176.00,2359759799.00,2114020380.00,2306185361.00,2514146888.00,2451257579.00,2250717718.00
Late-demographic dividend,13540300000000.00,16498600000000.00,17649600000000.00,19020300000000.00,19748300000000.00,18517700000000.00,18570800000000.00,20609600000000.00,22593000000000.00,23026400000000.00,22470900000000.00
Lithuania,37128694028.00,43535051482.00,42927454291.00,46523420074.00,48533659592.00,41435533340.00,43047309306.00,47758736932.00,53750911866.00,54697379017.00,56546957475.00
Luxembourg,56213985987.00,61696281326.00,59776383527.00,65203276467.00,68804811898.00,60071584216.00,62216885436.00,65712180343.00,71285019397.00,70195715496.00,73353132794.00
Latvia,23956163077.00,27474380566.00,28169902669.00,30204783462.00,31386896487.00,27263090547.00,28083597512.00,30483806018.00,34429023435.00,34308783825.00,33645460617.00
"Macao SAR, China",28241858489.00,36845925519.00,43189526778.00,51536304808.00,54903031138.00,45047964934.00,45070605746.00,50440941939.00,55284360483.00,55204758070.00,25586111076.00
St. Martin (French part),nan,775875857.90,nan,nan,772921756.30,nan,nan,nan,nan,nan,nan
Morocco,93216746662.00,101370000000.00,98266306615.00,106826000000.00,110081000000.00,101180000000.00,103312000000.00,109683000000.00,118096000000.00,119870000000.00,114725000000.00
Monaco,5367625613.00,6088808463.00,5743029680.00,6555983530.00,7069616049.00,6261622101.00,6472990923.00,6431314957.00,7194024563.00,7383745662.00,6816219303.00
Moldova,6974982393.00,8414351672.00,8709138765.00,9496717702.00,9510198962.00,7745241913.00,8071469355.00,9669741744.00,11457443185.00,11971345003.00,11859730544.00
Madagascar,9982711338.00,11551819618.00,11578974888.00,12423555269.00,12522957228.00,11323020829.00,11848613735.00,13176313594.00,13614412551.00,14191911512.00,13225591804.00
Maldives,2588176055.00,2774351760.00,2886170572.00,3295011382.00,3697351597.00,4109424800.00,4379136462.00,4754175869.00,5300962660.00,5607762625.00,3742769967.00
Middle East & North Africa,2973060000000.00,3355720000000.00,3614570000000.00,3553160000000.00,3569380000000.00,3140630000000.00,3168630000000.00,3296300000000.00,3459090000000.00,3465220000000.00,3106900000000.00
Mexico,1057800000000.00,1180490000000.00,1201090000000.00,1274440000000.00,1315350000000.00,1171870000000.00,1078490000000.00,1158910000000.00,1222410000000.00,1269400000000.00,1087120000000.00
Marshall Islands,160407100.00,172188500.00,180436300.00,184840400.00,182142800.00,183814300.00,201510900.00,213204100.00,221588900.00,239462200.00,244462400.00
Middle income,19850900000000.00,23678400000000.00,25244100000000.00,26739600000000.00,27621900000000.00,26188800000000.00,26434300000000.00,29040100000000.00,30844600000000.00,31581100000000.00,30433800000000.00
North Macedonia,9407168702.00,10494632699.00,9745251126.00,10817712139.00,11362272838.00,10064515432.00,10672471861.00,11307058382.00,12683070061.00,12606338449.00,12116981815.00
Mali,10689168011.00,12995112698.00,12442035328.00,13242690790.00,14364937128.00,13104764379.00,14026048334.00,15365713059.00,17070867578.00,17280250805.00,17465392779.00
Malta,9035932122.00,9638916481.00,9462238211.00,10551661177.00,11626281387.00,11091434484.00,11668286795.00,13505056442.00,15301279478.00,15719500921.00,14917038504.00
Myanmar,37796052939.00,54118601975.00,58318677645.00,60572257122.00,63264892768.00,63045305229.00,60291736894.00,61449392056.00,67144725831.00,68697759361.00,78930257227.00
Middle East & North Africa (excluding high income),1580130000000.00,1633770000000.00,1757060000000.00,1616320000000.00,1592380000000.00,1430990000000.00,1467440000000.00,1455190000000.00,1380520000000.00,1391980000000.00,1263840000000.00
